"","Estimators","Depth","Minimum Sample Size","Mean Accuracy"
"12500",6,1,1,0.796474
"12501",6,1,2,0.796474
"12502",6,1,3,0.796474
"12503",6,1,4,0.796474
"12504",6,1,5,0.796474
"12505",6,1,6,0.796474
"12506",6,1,7,0.796474
"12507",6,1,8,0.796474
"12508",6,1,9,0.796474
"12509",6,1,10,0.796474
"12510",6,1,11,0.796474
"12511",6,1,12,0.796474
"12512",6,1,13,0.796474
"12513",6,1,14,0.796474
"12514",6,1,15,0.796474
"12515",6,1,16,0.796474
"12516",6,1,17,0.796474
"12517",6,1,18,0.796474
"12518",6,1,19,0.796474
"12519",6,1,20,0.796474
"12520",6,1,21,0.796474
"12521",6,1,22,0.796474
"12522",6,1,23,0.796474
"12523",6,1,24,0.796474
"12524",6,1,25,0.796474
"12525",6,1,26,0.796474
"12526",6,1,27,0.796474
"12527",6,1,28,0.796474
"12528",6,1,29,0.796474
"12529",6,1,30,0.796474
"12530",6,1,31,0.796474
"12531",6,1,32,0.796474
"12532",6,1,33,0.796474
"12533",6,1,34,0.796474
"12534",6,1,35,0.796474
"12535",6,1,36,0.796474
"12536",6,1,37,0.796474
"12537",6,1,38,0.796474
"12538",6,1,39,0.796474
"12539",6,1,40,0.796474
"12540",6,1,41,0.796474
"12541",6,1,42,0.796474
"12542",6,1,43,0.796474
"12543",6,1,44,0.796474
"12544",6,1,45,0.796474
"12545",6,1,46,0.796474
"12546",6,1,47,0.796474
"12547",6,1,48,0.796474
"12548",6,1,49,0.796474
"12549",6,1,50,0.796474
"12550",6,2,1,0.796474
"12551",6,2,2,0.796474
"12552",6,2,3,0.796474
"12553",6,2,4,0.796474
"12554",6,2,5,0.796474
"12555",6,2,6,0.796474
"12556",6,2,7,0.796474
"12557",6,2,8,0.796474
"12558",6,2,9,0.796474
"12559",6,2,10,0.796474
"12560",6,2,11,0.796474
"12561",6,2,12,0.796474
"12562",6,2,13,0.796474
"12563",6,2,14,0.796474
"12564",6,2,15,0.796474
"12565",6,2,16,0.796474
"12566",6,2,17,0.796474
"12567",6,2,18,0.796474
"12568",6,2,19,0.796474
"12569",6,2,20,0.796474
"12570",6,2,21,0.796474
"12571",6,2,22,0.796474
"12572",6,2,23,0.796474
"12573",6,2,24,0.796474
"12574",6,2,25,0.796474
"12575",6,2,26,0.796474
"12576",6,2,27,0.796474
"12577",6,2,28,0.796474
"12578",6,2,29,0.796474
"12579",6,2,30,0.796474
"12580",6,2,31,0.796474
"12581",6,2,32,0.796474
"12582",6,2,33,0.796474
"12583",6,2,34,0.796474
"12584",6,2,35,0.796474
"12585",6,2,36,0.796474
"12586",6,2,37,0.796474
"12587",6,2,38,0.796474
"12588",6,2,39,0.796474
"12589",6,2,40,0.796474
"12590",6,2,41,0.796474
"12591",6,2,42,0.796474
"12592",6,2,43,0.796474
"12593",6,2,44,0.796474
"12594",6,2,45,0.796474
"12595",6,2,46,0.796474
"12596",6,2,47,0.796474
"12597",6,2,48,0.796474
"12598",6,2,49,0.796474
"12599",6,2,50,0.796474
"12600",6,3,1,0.796474
"12601",6,3,2,0.796474
"12602",6,3,3,0.796474
"12603",6,3,4,0.796474
"12604",6,3,5,0.796474
"12605",6,3,6,0.796474
"12606",6,3,7,0.796474
"12607",6,3,8,0.796474
"12608",6,3,9,0.796474
"12609",6,3,10,0.796474
"12610",6,3,11,0.796474
"12611",6,3,12,0.796474
"12612",6,3,13,0.796474
"12613",6,3,14,0.796474
"12614",6,3,15,0.796474
"12615",6,3,16,0.796474
"12616",6,3,17,0.796474
"12617",6,3,18,0.796474
"12618",6,3,19,0.796474
"12619",6,3,20,0.796474
"12620",6,3,21,0.796474
"12621",6,3,22,0.796474
"12622",6,3,23,0.796474
"12623",6,3,24,0.796474
"12624",6,3,25,0.796474
"12625",6,3,26,0.796474
"12626",6,3,27,0.796474
"12627",6,3,28,0.796474
"12628",6,3,29,0.796474
"12629",6,3,30,0.796474
"12630",6,3,31,0.796474
"12631",6,3,32,0.796474
"12632",6,3,33,0.796474
"12633",6,3,34,0.796474
"12634",6,3,35,0.796474
"12635",6,3,36,0.796474
"12636",6,3,37,0.796474
"12637",6,3,38,0.796474
"12638",6,3,39,0.796474
"12639",6,3,40,0.796474
"12640",6,3,41,0.796474
"12641",6,3,42,0.796474
"12642",6,3,43,0.796474
"12643",6,3,44,0.796474
"12644",6,3,45,0.796474
"12645",6,3,46,0.796474
