"","max_depth","min_sample_size","mean_score"
"200",3,1,0.815705
"201",3,2,0.815705
"202",3,3,0.815705
"203",3,4,0.815705
"204",3,5,0.815705
"205",3,6,0.815705
"206",3,7,0.815705
"207",3,8,0.815705
"208",3,9,0.815705
"209",3,10,0.815705
"210",3,11,0.815705
"211",3,12,0.815705
"212",3,13,0.815705
"213",3,14,0.815705
"214",3,15,0.815705
"215",3,16,0.815705
"216",3,17,0.815705
"217",3,18,0.815705
"218",3,19,0.815705
"219",3,20,0.815705
"220",3,21,0.815705
"221",3,22,0.815705
"222",3,23,0.815705
"223",3,24,0.815705
"224",3,25,0.815705
"225",3,26,0.815705
"226",3,27,0.815705
"227",3,28,0.815705
"228",3,29,0.815705
"229",3,30,0.815705
"230",3,31,0.815705
"231",3,32,0.815705
"232",3,33,0.815705
"233",3,34,0.815705
"234",3,35,0.815705
"235",3,36,0.815705
"236",3,37,0.815705
"237",3,38,0.815705
"238",3,39,0.815705
"239",3,40,0.815705
"240",3,41,0.815705
"241",3,42,0.815705
"242",3,43,0.815705
"243",3,44,0.815705
"244",3,45,0.815705
"245",3,46,0.815705
"246",3,47,0.815705
"247",3,48,0.815705
"248",3,49,0.815705
"249",3,50,0.815705
"250",3,51,0.815705
"251",3,52,0.815705
"252",3,53,0.815705
"253",3,54,0.815705
"254",3,55,0.815705
"255",3,56,0.815705
"256",3,57,0.815705
"257",3,58,0.815705
"258",3,59,0.815705
"259",3,60,0.815705
"260",3,61,0.815705
"261",3,62,0.815705
"262",3,63,0.815705
"263",3,64,0.815705
"264",3,65,0.815705
"265",3,66,0.815705
"266",3,67,0.815705
"267",3,68,0.815705
